             Step     Time          Energy          fmax
SciPyFminCG:    0 20:59:38     -142.254230       29.518659
SciPyFminCG:    1 20:59:38    -1951.903211       30.516501
SciPyFminCG:    2 20:59:38    -2038.367949       22.465192
SciPyFminCG:    3 20:59:38    -2331.787877        5.799003
SciPyFminCG:    4 20:59:38    -2338.107138        5.603059
SciPyFminCG:    5 20:59:38    -2370.469601        2.688017
SciPyFminCG:    6 20:59:38    -2377.248023        2.562237
SciPyFminCG:    7 20:59:38    -2389.346714        2.360224
SciPyFminCG:    8 20:59:39    -2393.772429        2.248451
SciPyFminCG:    9 20:59:39    -2398.164307        2.103684
SciPyFminCG:   10 20:59:39    -2399.510329        2.050206
SciPyFminCG:   11 20:59:39    -2400.330803        1.990087
SciPyFminCG:   12 20:59:39    -2401.390599        1.881029
SciPyFminCG:   13 20:59:39    -2402.536299        1.735384
SciPyFminCG:   14 20:59:39    -2403.553695        1.652952
SciPyFminCG:   15 20:59:39    -2404.527299        1.478886
SciPyFminCG:   16 20:59:40    -2406.553683        1.110490
SciPyFminCG:   17 20:59:40    -2410.481506        0.677822
SciPyFminCG:   18 20:59:40    -2411.242109        0.737936
SciPyFminCG:   19 20:59:40    -2411.548479        0.748660
SciPyFminCG:   20 20:59:40    -2411.659797        0.739121
SciPyFminCG:   21 20:59:40    -2412.278096        0.569006
SciPyFminCG:   22 20:59:41    -2413.129970        0.342830
SciPyFminCG:   23 20:59:41    -2413.717466        0.302688
SciPyFminCG:   24 20:59:41    -2413.807500        0.292420
SciPyFminCG:   25 20:59:41    -2413.881551        0.272192
SciPyFminCG:   26 20:59:41    -2413.961795        0.271566
SciPyFminCG:   27 20:59:41    -2414.010340        0.270273
SciPyFminCG:   28 20:59:41    -2414.053443        0.267808
SciPyFminCG:   29 20:59:41    -2414.086574        0.264479
SciPyFminCG:   30 20:59:42    -2414.137691        0.259820
SciPyFminCG:   31 20:59:42    -2414.231474        0.247253
SciPyFminCG:   32 20:59:42    -2414.325289        0.236364
SciPyFminCG:   33 20:59:42    -2414.387558        0.232745
SciPyFminCG:   34 20:59:42    -2414.420493        0.230037
SciPyFminCG:   35 20:59:42    -2414.438450        0.225532
SciPyFminCG:   36 20:59:42    -2414.450388        0.220408
SciPyFminCG:   37 20:59:43    -2414.486847        0.212059
SciPyFminCG:   38 20:59:43    -2414.522521        0.201689
SciPyFminCG:   39 20:59:43    -2414.556268        0.192129
SciPyFminCG:   40 20:59:43    -2414.587707        0.182697
SciPyFminCG:   41 20:59:43    -2414.625786        0.171665
SciPyFminCG:   42 20:59:43    -2414.648308        0.158939
SciPyFminCG:   43 20:59:43    -2414.731345        0.114489
SciPyFminCG:   44 20:59:44    -2414.792950        0.081905
SciPyFminCG:   45 20:59:44    -2414.810495        0.078091
SciPyFminCG:   46 20:59:44    -2414.818068        0.076181
SciPyFminCG:   47 20:59:44    -2414.820310        0.074540
SciPyFminCG:   48 20:59:44    -2414.821375        0.073458
SciPyFminCG:   49 20:59:44    -2414.822935        0.070946
SciPyFminCG:   50 20:59:44    -2414.826615        0.061712
SciPyFminCG:   51 20:59:45    -2414.830862        0.054146
SciPyFminCG:   52 20:59:45    -2414.835002        0.047667
SciPyFminCG:   53 20:59:45    -2414.838520        0.042955
SciPyFminCG:   54 20:59:45    -2414.839544        0.040319
SciPyFminCG:   55 20:59:45    -2414.842281        0.036581
SciPyFminCG:   56 20:59:45    -2414.843439        0.034357
SciPyFminCG:   57 20:59:45    -2414.844725        0.031856
SciPyFminCG:   58 20:59:45    -2414.845261        0.030219
SciPyFminCG:   59 20:59:46    -2414.846230        0.028401
SciPyFminCG:   60 20:59:46    -2414.846747        0.027025
SciPyFminCG:   61 20:59:46    -2414.847290        0.026501
SciPyFminCG:   62 20:59:46    -2414.847450        0.026296
SciPyFminCG:   63 20:59:46    -2414.847816        0.025426
SciPyFminCG:   64 20:59:46    -2414.848426        0.023505
SciPyFminCG:   65 20:59:46    -2414.849001        0.020681
SciPyFminCG:   66 20:59:46    -2414.849510        0.019776
SciPyFminCG:   67 20:59:47    -2414.850050        0.018238
SciPyFminCG:   68 20:59:47    -2414.850526        0.016860
SciPyFminCG:   69 20:59:47    -2414.851041        0.016391
SciPyFminCG:   70 20:59:47    -2414.851751        0.013045
SciPyFminCG:   71 20:59:47    -2414.851850        0.012955
SciPyFminCG:   72 20:59:47    -2414.851891        0.012821
SciPyFminCG:   73 20:59:47    -2414.851955        0.012273
SciPyFminCG:   74 20:59:48    -2414.852166        0.010078
