             Step     Time          Energy          fmax
SciPyFminCG:    0 16:52:02     -968.713017      146.690091
SciPyFminCG:    1 16:52:02    -2246.526609       25.171034
SciPyFminCG:    2 16:52:02    -2362.753163        4.939574
SciPyFminCG:    3 16:52:02    -2385.171850        3.148960
SciPyFminCG:    4 16:52:02    -2395.532132        1.508091
SciPyFminCG:    5 16:52:02    -2400.067922        1.118441
SciPyFminCG:    6 16:52:03    -2404.138760        1.025581
SciPyFminCG:    7 16:52:03    -2406.956621        0.958126
SciPyFminCG:    8 16:52:03    -2408.898202        0.900123
SciPyFminCG:    9 16:52:03    -2409.976420        0.864074
SciPyFminCG:   10 16:52:03    -2410.918681        0.823340
SciPyFminCG:   11 16:52:03    -2411.787100        0.773830
SciPyFminCG:   12 16:52:03    -2412.168414        0.757436
SciPyFminCG:   13 16:52:03    -2412.319795        0.735307
SciPyFminCG:   14 16:52:04    -2412.733979        0.651103
SciPyFminCG:   15 16:52:04    -2413.122297        0.583804
SciPyFminCG:   16 16:52:04    -2413.233566        0.574450
SciPyFminCG:   17 16:52:04    -2413.306161        0.558508
SciPyFminCG:   18 16:52:04    -2413.437196        0.512360
SciPyFminCG:   19 16:52:04    -2413.605154        0.460436
SciPyFminCG:   20 16:52:05    -2413.756492        0.421363
SciPyFminCG:   21 16:52:05    -2413.911781        0.395908
SciPyFminCG:   22 16:52:05    -2414.015668        0.375035
SciPyFminCG:   23 16:52:05    -2414.069818        0.368904
SciPyFminCG:   24 16:52:05    -2414.095824        0.361194
SciPyFminCG:   25 16:52:05    -2414.188517        0.321795
SciPyFminCG:   26 16:52:05    -2414.382628        0.257366
SciPyFminCG:   27 16:52:06    -2414.594221        0.146393
SciPyFminCG:   28 16:52:06    -2414.684048        0.138248
SciPyFminCG:   29 16:52:06    -2414.708725        0.135088
SciPyFminCG:   30 16:52:06    -2414.714553        0.133626
SciPyFminCG:   31 16:52:06    -2414.721793        0.130469
SciPyFminCG:   32 16:52:06    -2414.733862        0.121763
SciPyFminCG:   33 16:52:06    -2414.762848        0.101904
SciPyFminCG:   34 16:52:07    -2414.778415        0.092014
SciPyFminCG:   35 16:52:07    -2414.793623        0.084169
SciPyFminCG:   36 16:52:07    -2414.807937        0.076517
SciPyFminCG:   37 16:52:07    -2414.811497        0.075827
SciPyFminCG:   38 16:52:07    -2414.814688        0.073772
SciPyFminCG:   39 16:52:07    -2414.819339        0.069268
SciPyFminCG:   40 16:52:07    -2414.826426        0.061153
SciPyFminCG:   41 16:52:08    -2414.829187        0.058091
SciPyFminCG:   42 16:52:08    -2414.831051        0.056872
SciPyFminCG:   43 16:52:08    -2414.832356        0.055338
SciPyFminCG:   44 16:52:08    -2414.834594        0.051117
SciPyFminCG:   45 16:52:08    -2414.836692        0.046730
SciPyFminCG:   46 16:52:08    -2414.839289        0.041443
SciPyFminCG:   47 16:52:09    -2414.842395        0.032964
SciPyFminCG:   48 16:52:09    -2414.844687        0.029490
SciPyFminCG:   49 16:52:09    -2414.846000        0.028616
SciPyFminCG:   50 16:52:09    -2414.846654        0.027860
SciPyFminCG:   51 16:52:09    -2414.847392        0.026891
SciPyFminCG:   52 16:52:09    -2414.848395        0.025074
SciPyFminCG:   53 16:52:09    -2414.848996        0.023985
SciPyFminCG:   54 16:52:10    -2414.849415        0.023394
SciPyFminCG:   55 16:52:10    -2414.849612        0.022878
SciPyFminCG:   56 16:52:10    -2414.849769        0.022374
SciPyFminCG:   57 16:52:10    -2414.850043        0.021022
SciPyFminCG:   58 16:52:10    -2414.850508        0.018259
SciPyFminCG:   59 16:52:10    -2414.851410        0.012670
SciPyFminCG:   60 16:52:10    -2414.852532        0.010980
SciPyFminCG:   61 16:52:11    -2414.852835        0.003598
SciPyFminCG:   62 16:52:11    -2414.852900        0.004163
SciPyFminCG:   63 16:52:11    -2414.852935        0.002424
SciPyFminCG:   64 16:52:11    -2414.852949        0.002863
SciPyFminCG:   65 16:52:11    -2414.852979        0.002132
SciPyFminCG:   66 16:52:11    -2414.852989        0.001875
SciPyFminCG:   67 16:52:11    -2414.852998        0.001778
SciPyFminCG:   68 16:52:12    -2414.853000        0.001749
SciPyFminCG:   69 16:52:12    -2414.853002        0.001640
SciPyFminCG:   70 16:52:12    -2414.853004        0.001570
SciPyFminCG:   71 16:52:12    -2414.853005        0.001507
SciPyFminCG:   72 16:52:12    -2414.853006        0.001459
SciPyFminCG:   73 16:52:12    -2414.853007        0.001413
SciPyFminCG:   74 16:52:13    -2414.853008        0.001313
SciPyFminCG:   75 16:52:13    -2414.853011        0.000980
             Step     Time          Energy          fmax
SciPyFminCG:    0 16:55:22     -968.713017      146.690091
SciPyFminCG:    1 16:55:22    -2246.526609       25.171034
SciPyFminCG:    2 16:55:22    -2362.753163        4.939574
SciPyFminCG:    3 16:55:22    -2385.171850        3.148960
SciPyFminCG:    4 16:55:22    -2395.532132        1.508091
SciPyFminCG:    5 16:55:22    -2400.067922        1.118441
SciPyFminCG:    6 16:55:22    -2404.138760        1.025581
SciPyFminCG:    7 16:55:22    -2406.956621        0.958126
SciPyFminCG:    8 16:55:23    -2408.898202        0.900123
SciPyFminCG:    9 16:55:23    -2409.976420        0.864074
SciPyFminCG:   10 16:55:23    -2410.918681        0.823340
SciPyFminCG:   11 16:55:23    -2411.787100        0.773830
SciPyFminCG:   12 16:55:23    -2412.168414        0.757436
SciPyFminCG:   13 16:55:23    -2412.319795        0.735307
SciPyFminCG:   14 16:55:23    -2412.733979        0.651103
SciPyFminCG:   15 16:55:24    -2413.122297        0.583804
SciPyFminCG:   16 16:55:24    -2413.233566        0.574450
SciPyFminCG:   17 16:55:24    -2413.306161        0.558508
SciPyFminCG:   18 16:55:24    -2413.437196        0.512360
SciPyFminCG:   19 16:55:24    -2413.605154        0.460436
SciPyFminCG:   20 16:55:24    -2413.756492        0.421363
SciPyFminCG:   21 16:55:24    -2413.911781        0.395908
SciPyFminCG:   22 16:55:25    -2414.015668        0.375035
SciPyFminCG:   23 16:55:25    -2414.069818        0.368904
SciPyFminCG:   24 16:55:25    -2414.095824        0.361194
SciPyFminCG:   25 16:55:25    -2414.188517        0.321795
SciPyFminCG:   26 16:55:25    -2414.382628        0.257366
SciPyFminCG:   27 16:55:25    -2414.594221        0.146393
SciPyFminCG:   28 16:55:25    -2414.684048        0.138248
SciPyFminCG:   29 16:55:26    -2414.708725        0.135088
SciPyFminCG:   30 16:55:26    -2414.714553        0.133626
SciPyFminCG:   31 16:55:26    -2414.721793        0.130469
SciPyFminCG:   32 16:55:26    -2414.733862        0.121763
SciPyFminCG:   33 16:55:26    -2414.762848        0.101904
