      Step     Time          Energy          fmax
BFGS:    0 15:07:37    -1294.707291        0.007644
BFGS:    1 15:07:37    -1294.707326        0.006808
BFGS:    2 15:07:37    -1294.707455        0.004126
BFGS:    3 15:07:37    -1294.707460        0.003765
BFGS:    4 15:07:37    -1294.707481        0.000667
      Step     Time          Energy          fmax
BFGS:    0 15:07:38    -1312.099049        0.006985
BFGS:    1 15:07:38    -1312.099054        0.005631
BFGS:    2 15:07:38    -1312.099073        0.004405
BFGS:    3 15:07:38    -1312.099075        0.004267
BFGS:    4 15:07:38    -1312.099079        0.001192
BFGS:    5 15:07:38    -1312.099080        0.001406
BFGS:    6 15:07:38    -1312.099081        0.001307
BFGS:    7 15:07:38    -1312.099081        0.001180
BFGS:    8 15:07:38    -1312.099081        0.000525
      Step     Time          Energy          fmax
BFGS:    0 15:07:38    -1312.369631        0.008288
BFGS:    1 15:07:38    -1312.369646        0.007154
BFGS:    2 15:07:38    -1312.369708        0.007536
BFGS:    3 15:07:38    -1312.369719        0.007477
BFGS:    4 15:07:38    -1312.369770        0.004419
BFGS:    5 15:07:38    -1312.369782        0.003903
BFGS:    6 15:07:38    -1312.369790        0.004083
BFGS:    7 15:07:38    -1312.369795        0.004337
BFGS:    8 15:07:38    -1312.369800        0.002670
BFGS:    9 15:07:38    -1312.369802        0.000715
      Step     Time          Energy          fmax
BFGS:    0 15:07:39    -1312.099049        0.006985
BFGS:    1 15:07:39    -1312.099054        0.005631
BFGS:    2 15:07:39    -1312.099073        0.004405
BFGS:    3 15:07:39    -1312.099075        0.004267
BFGS:    4 15:07:39    -1312.099079        0.001192
BFGS:    5 15:07:39    -1312.099080        0.001406
BFGS:    6 15:07:39    -1312.099081        0.001307
BFGS:    7 15:07:39    -1312.099081        0.001180
BFGS:    8 15:07:39    -1312.099081        0.000525
      Step     Time          Energy          fmax
BFGS:    0 15:07:40    -1313.046393        0.009945
BFGS:    1 15:07:40    -1313.046433        0.008164
BFGS:    2 15:07:40    -1313.046657        0.015383
BFGS:    3 15:07:40    -1313.046684        0.013596
BFGS:    4 15:07:40    -1313.046770        0.007049
BFGS:    5 15:07:40    -1313.046794        0.011053
BFGS:    6 15:07:40    -1313.046852        0.017838
BFGS:    7 15:07:40    -1313.046909        0.017072
BFGS:    8 15:07:40    -1313.046965        0.009672
BFGS:    9 15:07:40    -1313.047000        0.007467
BFGS:   10 15:07:40    -1313.047031        0.011695
BFGS:   11 15:07:40    -1313.047069        0.016071
BFGS:   12 15:07:40    -1313.047107        0.013846
BFGS:   13 15:07:40    -1313.047129        0.010287
BFGS:   14 15:07:40    -1313.047137        0.005327
BFGS:   15 15:07:40    -1313.047141        0.002567
BFGS:   16 15:07:40    -1313.047144        0.003690
BFGS:   17 15:07:40    -1313.047148        0.004823
BFGS:   18 15:07:40    -1313.047149        0.003941
BFGS:   19 15:07:40    -1313.047151        0.001905
BFGS:   20 15:07:40    -1313.047151        0.001591
BFGS:   21 15:07:40    -1313.047152        0.001753
BFGS:   22 15:07:40    -1313.047152        0.002095
BFGS:   23 15:07:40    -1313.047153        0.001764
BFGS:   24 15:07:40    -1313.047153        0.000908
      Step     Time          Energy          fmax
BFGS:    0 15:07:41    -1313.310093        0.007447
BFGS:    1 15:07:41    -1313.310105        0.005311
BFGS:    2 15:07:41    -1313.310152        0.009003
BFGS:    3 15:07:41    -1313.310157        0.007188
BFGS:    4 15:07:41    -1313.310168        0.003104
BFGS:    5 15:07:41    -1313.310171        0.003446
BFGS:    6 15:07:41    -1313.310179        0.007257
BFGS:    7 15:07:41    -1313.310187        0.008552
BFGS:    8 15:07:41    -1313.310196        0.008106
BFGS:    9 15:07:41    -1313.310204        0.007013
BFGS:   10 15:07:41    -1313.310209        0.004724
BFGS:   11 15:07:41    -1313.310211        0.004077
BFGS:   12 15:07:41    -1313.310213        0.003859
BFGS:   13 15:07:41    -1313.310215        0.004312
BFGS:   14 15:07:41    -1313.310217        0.002689
BFGS:   15 15:07:41    -1313.310217        0.002122
BFGS:   16 15:07:41    -1313.310218        0.002584
BFGS:   17 15:07:41    -1313.310219        0.003642
BFGS:   18 15:07:41    -1313.310220        0.003231
BFGS:   19 15:07:41    -1313.310220        0.001968
BFGS:   20 15:07:41    -1313.310221        0.001285
BFGS:   21 15:07:41    -1313.310221        0.002413
BFGS:   22 15:07:41    -1313.310222        0.002651
BFGS:   23 15:07:41    -1313.310222        0.001751
BFGS:   24 15:07:41    -1313.310222        0.000931
      Step     Time          Energy          fmax
BFGS:    0 15:07:41     -160.268318        0.005836
BFGS:    1 15:07:41     -160.268322        0.005409
BFGS:    2 15:07:41     -160.268338        0.003816
BFGS:    3 15:07:41     -160.268339        0.003812
BFGS:    4 15:07:41     -160.268348        0.003737
BFGS:    5 15:07:41     -160.268349        0.003387
BFGS:    6 15:07:41     -160.268353        0.003285
BFGS:    7 15:07:41     -160.268357        0.003989
BFGS:    8 15:07:41     -160.268362        0.004966
BFGS:    9 15:07:41     -160.268365        0.004570
BFGS:   10 15:07:41     -160.268367        0.003438
BFGS:   11 15:07:41     -160.268369        0.004191
BFGS:   12 15:07:41     -160.268372        0.004627
BFGS:   13 15:07:41     -160.268376        0.003269
BFGS:   14 15:07:41     -160.268378        0.002138
BFGS:   15 15:07:41     -160.268378        0.001404
BFGS:   16 15:07:41     -160.268378        0.000915
      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:07:41     -159.436094        0.009966
BFGS:    1 15:07:41     -159.436102        0.009721
BFGS:    2 15:07:41     -159.436270        0.013490
BFGS:    3 15:07:41     -159.436281        0.013173
BFGS:    4 15:07:41     -159.436387        0.007064
BFGS:    5 15:07:41     -159.436398        0.007400
BFGS:    6 15:07:41     -159.436416        0.006415
BFGS:    7 15:07:41     -159.436428        0.004245
BFGS:    8 15:07:41     -159.436434        0.001776
BFGS:    9 15:07:41     -159.436435        0.000975
      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:07:41     -157.641562        0.009971
BFGS:    1 15:07:41     -157.641574        0.008721
BFGS:    2 15:07:41     -157.641614        0.004712
BFGS:    3 15:07:41     -157.641616        0.003916
BFGS:    4 15:07:41     -157.641618        0.000703
      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:07:41     -155.586537        0.006651
BFGS:    1 15:07:41     -155.586540        0.006269
BFGS:    2 15:07:41     -155.586564        0.003324
BFGS:    3 15:07:41     -155.586565        0.002982
BFGS:    4 15:07:41     -155.586571        0.003833
BFGS:    5 15:07:41     -155.586573        0.003984
BFGS:    6 15:07:41     -155.586580        0.004473
BFGS:    7 15:07:41     -155.586587        0.005145
BFGS:    8 15:07:41     -155.586595        0.003956
BFGS:    9 15:07:41     -155.586597        0.002520
BFGS:   10 15:07:41     -155.586598        0.002007
BFGS:   11 15:07:41     -155.586600        0.001787
BFGS:   12 15:07:41     -155.586601        0.001380
BFGS:   13 15:07:41     -155.586602        0.000899
      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:10:31    -1294.707291        0.007644
BFGS:    1 15:10:31    -1294.707326        0.006808
BFGS:    2 15:10:31    -1294.707455        0.004126
BFGS:    3 15:10:31    -1294.707460        0.003765
BFGS:    4 15:10:31    -1294.707481        0.000667
      Step     Time          Energy          fmax
