      Step     Time          Energy          fmax
FIRE:    0 15:07:37    -1294.556042        0.332946
FIRE:    1 15:07:37    -1294.568817        0.318615
FIRE:    2 15:07:37    -1294.592009        0.290614
FIRE:    3 15:07:37    -1294.621405        0.250141
FIRE:    4 15:07:37    -1294.651809        0.198750
FIRE:    5 15:07:37    -1294.678063        0.138275
FIRE:    6 15:07:37    -1294.696033        0.071091
FIRE:    7 15:07:37    -1294.703493        0.062881
FIRE:    8 15:07:37    -1294.700369        0.075426
FIRE:    9 15:07:37    -1294.700639        0.073828
FIRE:   10 15:07:37    -1294.701157        0.070670
FIRE:   11 15:07:37    -1294.701879        0.066031
FIRE:   12 15:07:37    -1294.702749        0.060027
FIRE:   13 15:07:37    -1294.703694        0.052809
FIRE:   14 15:07:37    -1294.704641        0.044561
FIRE:   15 15:07:37    -1294.705519        0.036292
FIRE:   16 15:07:37    -1294.706331        0.027363
FIRE:   17 15:07:37    -1294.706963        0.016996
FIRE:   18 15:07:37    -1294.707291        0.007644
      Step     Time          Energy          fmax
FIRE:    0 15:07:37    -1289.449533       50.289280
FIRE:    1 15:07:37    -1299.995304       25.696064
FIRE:    2 15:07:37    -1305.621486       13.201842
FIRE:    3 15:07:37    -1308.455337        5.386381
FIRE:    4 15:07:37    -1309.720474        2.182433
FIRE:    5 15:07:37    -1310.304666        1.697713
FIRE:    6 15:07:37    -1310.558927        2.044634
FIRE:    7 15:07:37    -1310.556453        3.375335
FIRE:    8 15:07:37    -1310.677976        3.173891
FIRE:    9 15:07:37    -1310.894424        2.791885
FIRE:   10 15:07:37    -1311.160884        2.270001
FIRE:   11 15:07:37    -1311.427549        1.663296
FIRE:   12 15:07:37    -1311.652898        1.029140
FIRE:   13 15:07:37    -1311.811909        0.413770
FIRE:   14 15:07:37    -1311.898771        0.297987
FIRE:   15 15:07:37    -1311.926478        0.673494
FIRE:   16 15:07:37    -1311.928888        0.665761
FIRE:   17 15:07:37    -1311.933619        0.650383
FIRE:   18 15:07:37    -1311.940500        0.627535
FIRE:   19 15:07:37    -1311.949283        0.597482
FIRE:   20 15:07:37    -1311.959651        0.560583
FIRE:   21 15:07:37    -1311.971239        0.517290
FIRE:   22 15:07:37    -1311.983643        0.468155
FIRE:   23 15:07:37    -1311.997802        0.407805
FIRE:   24 15:07:37    -1312.013319        0.334973
FIRE:   25 15:07:37    -1312.029471        0.248927
FIRE:   26 15:07:37    -1312.045179        0.150147
FIRE:   27 15:07:37    -1312.059103        0.105129
FIRE:   28 15:07:37    -1312.069985        0.118030
FIRE:   29 15:07:37    -1312.077270        0.172261
FIRE:   30 15:07:37    -1312.081528        0.237619
FIRE:   31 15:07:37    -1312.084017        0.266107
FIRE:   32 15:07:37    -1312.084477        0.260657
FIRE:   33 15:07:37    -1312.085365        0.250044
FIRE:   34 15:07:37    -1312.086618        0.237615
FIRE:   35 15:07:37    -1312.088149        0.221439
FIRE:   36 15:07:37    -1312.089852        0.201840
FIRE:   37 15:07:37    -1312.091611        0.179203
FIRE:   38 15:07:37    -1312.093306        0.153965
FIRE:   39 15:07:37    -1312.094974        0.123628
FIRE:   40 15:07:37    -1312.096418        0.087985
FIRE:   41 15:07:37    -1312.097396        0.047309
FIRE:   42 15:07:37    -1312.097695        0.052447
FIRE:   43 15:07:37    -1312.097703        0.052075
FIRE:   44 15:07:37    -1312.097718        0.051335
FIRE:   45 15:07:37    -1312.097740        0.050233
FIRE:   46 15:07:37    -1312.097769        0.048780
FIRE:   47 15:07:37    -1312.097804        0.046991
FIRE:   48 15:07:37    -1312.097845        0.044884
FIRE:   49 15:07:37    -1312.097891        0.042483
FIRE:   50 15:07:37    -1312.097947        0.039515
FIRE:   51 15:07:37    -1312.098012        0.035903
FIRE:   52 15:07:38    -1312.098089        0.031581
FIRE:   53 15:07:38    -1312.098176        0.026510
FIRE:   54 15:07:38    -1312.098272        0.020706
FIRE:   55 15:07:38    -1312.098376        0.014578
FIRE:   56 15:07:38    -1312.098486        0.015908
FIRE:   57 15:07:38    -1312.098597        0.016762
FIRE:   58 15:07:38    -1312.098709        0.016770
FIRE:   59 15:07:38    -1312.098818        0.015511
FIRE:   60 15:07:38    -1312.098918        0.012588
FIRE:   61 15:07:38    -1312.099002        0.011403
FIRE:   62 15:07:38    -1312.099049        0.006985
      Step     Time          Energy          fmax
FIRE:    0 15:07:38    -1294.500192       23.126971
FIRE:    1 15:07:38    -1301.776197       13.957839
FIRE:    2 15:07:38    -1306.158424        8.275142
FIRE:    3 15:07:38    -1308.752099        4.818950
FIRE:    4 15:07:38    -1310.230846        2.332979
FIRE:    5 15:07:38    -1310.924555        1.416451
FIRE:    6 15:07:38    -1311.112762        1.545648
FIRE:    7 15:07:38    -1311.186751        1.484655
FIRE:    8 15:07:38    -1311.321836        1.367499
FIRE:    9 15:07:38    -1311.495369        1.203006
FIRE:   10 15:07:38    -1311.680255        1.002600
FIRE:   11 15:07:38    -1311.850937        0.778983
