image_index,area_A2,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_xz_GPa,sigma_yz_GPa,delta_x_A,delta_y_A
0,1475.437375245756,-2.7628893277529034e-05,-2.5420820174096425e-05,5.3920189163166764e-05,3.975333036603402e-09,7.164514866797666e-07,2.0636190890422202e-09,2.2754480580950216e-07,0.0003178916722750997
1,1475.437375245756,-2.7482830623668302e-05,-3.524822109045961e-05,5.2523861391061106e-05,4.683986298465377e-09,1.3573758369074836e-05,3.0861997142634387e-09,-1.4725317115547636e-06,0.04166828945314955
2,1475.437375245756,-9.849730604779695e-06,-8.376780673908339e-05,5.2248646354525056e-05,7.488921402982965e-09,8.050871847333795e-05,-2.4551664264729564e-09,1.729153731505883e-05,0.26716530247884074
3,1475.437375245756,3.205223325982565e-05,-0.00016416636688057606,5.960773694311009e-05,1.4318419645287163e-08,0.00023057193173434237,-2.2233612603128968e-08,7.969133161090554e-05,0.7540209801818283
4,1475.437375245756,7.615998639990604e-05,-0.00022853256603428315,6.079163530960792e-05,1.7938269904926734e-08,0.0003762079365452403,-3.964630640476122e-08,0.00013118810526214358,1.2191695912450053
5,1475.437375245756,9.558501352478561e-05,-0.00025305986636240914,5.54007988769946e-05,1.7881964557889968e-08,0.0004331524943936623,-4.349876022202348e-08,0.00014134939874939625,1.4021510844524263
6,1475.437375245756,7.615997886496138e-05,-0.00022853258739294783,6.079162032280911e-05,1.84002266777609e-08,0.00037620783895095226,-4.0997056349699105e-08,0.0001354432325613342,1.219169341713287
7,1475.437375245756,3.205180539963069e-05,-0.00016416580126568412,5.960766518011944e-05,1.4927483517457285e-08,0.000230570475181906,-2.3705311500126494e-08,8.447946048583105e-05,0.7540163937735356
8,1475.437375245756,-9.850210916114318e-06,-8.376699143181585e-05,5.224863785289858e-05,7.771902124031839e-09,8.05070751899848e-05,-2.9265126027359897e-09,1.8951410607652536e-05,0.2671600024809156
9,1475.437375245756,-2.7482646807373688e-05,-3.524774382799813e-05,5.252385733016887e-05,4.7398304012822485e-09,1.357318294489221e-05,3.0725293457988644e-09,-1.3559200284417724e-06,0.04166654872506551
10,1475.437375245756,-2.7616412899320767e-05,-2.5414853221206606e-05,5.3914104116517856e-05,5.4056250745508126e-09,7.050320012444195e-07,5.593913181932612e-09,-7.102352439086102e-06,0.0002922125856661232
