      Step     Time          Energy          fmax
FIRE:    0 15:07:44    -2357.076680        0.761006
FIRE:    1 15:07:44    -2357.120346        0.679707
FIRE:    2 15:07:44    -2357.191735        0.531335
FIRE:    3 15:07:44    -2357.266418        0.370849
FIRE:    4 15:07:44    -2357.322493        0.247724
FIRE:    5 15:07:44    -2357.350279        0.170553
FIRE:    6 15:07:44    -2357.356248        0.203209
FIRE:    7 15:07:44    -2357.357767        0.197309
FIRE:    8 15:07:44    -2357.360667        0.185740
FIRE:    9 15:07:45    -2357.364690        0.168982
FIRE:   10 15:07:45    -2357.369487        0.147793
FIRE:   11 15:07:45    -2357.374659        0.126531
FIRE:   12 15:07:45    -2357.379806        0.113435
FIRE:   13 15:07:45    -2357.384583        0.102790
FIRE:   14 15:07:45    -2357.389136        0.095830
FIRE:   15 15:07:45    -2357.393128        0.094524
FIRE:   16 15:07:45    -2357.396436        0.097698
FIRE:   17 15:07:45    -2357.399320        0.100849
FIRE:   18 15:07:45    -2357.402372        0.106884
FIRE:   19 15:07:45    -2357.406206        0.105597
FIRE:   20 15:07:45    -2357.411027        0.088399
FIRE:   21 15:07:45    -2357.416278        0.061781
FIRE:   22 15:07:45    -2357.420700        0.050158
FIRE:   23 15:07:45    -2357.423227        0.040613
FIRE:   24 15:07:45    -2357.424207        0.063269
FIRE:   25 15:07:45    -2357.424478        0.060108
FIRE:   26 15:07:45    -2357.424971        0.053990
FIRE:   27 15:07:45    -2357.425603        0.045336
FIRE:   28 15:07:45    -2357.426270        0.034819
FIRE:   29 15:07:45    -2357.426879        0.023544
FIRE:   30 15:07:45    -2357.427367        0.018045
FIRE:   31 15:07:45    -2357.427728        0.019971
FIRE:   32 15:07:45    -2357.428035        0.022296
FIRE:   33 15:07:45    -2357.428365        0.024428
FIRE:   34 15:07:45    -2357.428807        0.027315
FIRE:   35 15:07:45    -2357.429409        0.025634
FIRE:   36 15:07:45    -2357.430108        0.019696
FIRE:   37 15:07:45    -2357.430744        0.013675
FIRE:   38 15:07:45    -2357.431213        0.016773
FIRE:   39 15:07:45    -2357.431673        0.019514
FIRE:   40 15:07:45    -2357.432367        0.017234
FIRE:   41 15:07:45    -2357.433241        0.012236
FIRE:   42 15:07:45    -2357.434004        0.013072
FIRE:   43 15:07:45    -2357.434703        0.014863
FIRE:   44 15:07:45    -2357.435456        0.012293
FIRE:   45 15:07:45    -2357.435982        0.011883
FIRE:   46 15:07:45    -2357.436444        0.017642
FIRE:   47 15:07:45    -2357.436842        0.010588
FIRE:   48 15:07:45    -2357.436928        0.008627
FIRE:   49 15:07:45    -2357.437039        0.005333
FIRE:   50 15:07:45    -2357.437120        0.005244
FIRE:   51 15:07:45    -2357.437184        0.007384
FIRE:   52 15:07:45    -2357.437274        0.006893
FIRE:   53 15:07:45    -2357.437385        0.004100
      Step     Time          Energy          fmax
FIRE:    0 15:10:39    -2357.076680        0.761006
FIRE:    1 15:10:39    -2357.120346        0.679707
FIRE:    2 15:10:39    -2357.191735        0.531335
FIRE:    3 15:10:39    -2357.266418        0.370849
FIRE:    4 15:10:39    -2357.322493        0.247724
FIRE:    5 15:10:39    -2357.350279        0.170553
FIRE:    6 15:10:39    -2357.356248        0.203209
FIRE:    7 15:10:39    -2357.357767        0.197309
FIRE:    8 15:10:39    -2357.360667        0.185740
FIRE:    9 15:10:39    -2357.364690        0.168982
FIRE:   10 15:10:39    -2357.369487        0.147793
FIRE:   11 15:10:39    -2357.374659        0.126531
FIRE:   12 15:10:39    -2357.379806        0.113435
FIRE:   13 15:10:39    -2357.384583        0.102790
FIRE:   14 15:10:39    -2357.389136        0.095830
FIRE:   15 15:10:39    -2357.393128        0.094524
FIRE:   16 15:10:39    -2357.396436        0.097698
FIRE:   17 15:10:39    -2357.399320        0.100849
FIRE:   18 15:10:39    -2357.402372        0.106884
FIRE:   19 15:10:39    -2357.406206        0.105597
FIRE:   20 15:10:39    -2357.411027        0.088399
FIRE:   21 15:10:39    -2357.416278        0.061781
FIRE:   22 15:10:39    -2357.420700        0.050158
FIRE:   23 15:10:39    -2357.423227        0.040613
FIRE:   24 15:10:39    -2357.424207        0.063269
FIRE:   25 15:10:39    -2357.424478        0.060108
FIRE:   26 15:10:39    -2357.424971        0.053990
FIRE:   27 15:10:39    -2357.425603        0.045336
FIRE:   28 15:10:39    -2357.426270        0.034819
FIRE:   29 15:10:39    -2357.426879        0.023544
FIRE:   30 15:10:39    -2357.427367        0.018045
FIRE:   31 15:10:39    -2357.427728        0.019971
FIRE:   32 15:10:40    -2357.428035        0.022296
FIRE:   33 15:10:40    -2357.428365        0.024428
FIRE:   34 15:10:40    -2357.428807        0.027315
FIRE:   35 15:10:40    -2357.429409        0.025634
FIRE:   36 15:10:40    -2357.430108        0.019696
FIRE:   37 15:10:40    -2357.430744        0.013675
FIRE:   38 15:10:40    -2357.431213        0.016773
FIRE:   39 15:10:40    -2357.431673        0.019514
FIRE:   40 15:10:40    -2357.432367        0.017234
FIRE:   41 15:10:40    -2357.433241        0.012236
FIRE:   42 15:10:40    -2357.434004        0.013072
FIRE:   43 15:10:40    -2357.434703        0.014863
FIRE:   44 15:10:40    -2357.435456        0.012293
FIRE:   45 15:10:40    -2357.435982        0.011883
FIRE:   46 15:10:40    -2357.436444        0.017642
FIRE:   47 15:10:40    -2357.436842        0.010588
FIRE:   48 15:10:40    -2357.436928        0.008627
FIRE:   49 15:10:40    -2357.437039        0.005333
FIRE:   50 15:10:40    -2357.437120        0.005244
FIRE:   51 15:10:40    -2357.437184        0.007384
FIRE:   52 15:10:40    -2357.437274        0.006893
FIRE:   53 15:10:40    -2357.437385        0.004100
      Step     Time          Energy          fmax
FIRE:    0 15:14:20    -2357.076680        0.761006
FIRE:    1 15:14:20    -2357.120346        0.679707
FIRE:    2 15:14:20    -2357.191735        0.531335
FIRE:    3 15:14:20    -2357.266418        0.370849
FIRE:    4 15:14:20    -2357.322493        0.247724
FIRE:    5 15:14:20    -2357.350279        0.170553
FIRE:    6 15:14:20    -2357.356248        0.203209
FIRE:    7 15:14:20    -2357.357767        0.197309
FIRE:    8 15:14:20    -2357.360667        0.185740
FIRE:    9 15:14:20    -2357.364690        0.168982
FIRE:   10 15:14:20    -2357.369487        0.147793
FIRE:   11 15:14:21    -2357.374659        0.126531
FIRE:   12 15:14:21    -2357.379806        0.113435
FIRE:   13 15:14:21    -2357.384583        0.102790
FIRE:   14 15:14:21    -2357.389136        0.095830
FIRE:   15 15:14:21    -2357.393128        0.094524
FIRE:   16 15:14:21    -2357.396436        0.097698
FIRE:   17 15:14:21    -2357.399320        0.100849
FIRE:   18 15:14:21    -2357.402372        0.106884
FIRE:   19 15:14:21    -2357.406206        0.105597
FIRE:   20 15:14:21    -2357.411027        0.088399
FIRE:   21 15:14:21    -2357.416278        0.061781
FIRE:   22 15:14:21    -2357.420700        0.050158
FIRE:   23 15:14:21    -2357.423227        0.040613
FIRE:   24 15:14:21    -2357.424207        0.063269
FIRE:   25 15:14:21    -2357.424478        0.060108
FIRE:   26 15:14:21    -2357.424971        0.053990
FIRE:   27 15:14:21    -2357.425603        0.045336
FIRE:   28 15:14:21    -2357.426270        0.034819
FIRE:   29 15:14:21    -2357.426879        0.023544
FIRE:   30 15:14:21    -2357.427367        0.018045
FIRE:   31 15:14:21    -2357.427728        0.019971
FIRE:   32 15:14:21    -2357.428035        0.022296
FIRE:   33 15:14:21    -2357.428365        0.024428
FIRE:   34 15:14:21    -2357.428807        0.027315
FIRE:   35 15:14:21    -2357.429409        0.025634
FIRE:   36 15:14:21    -2357.430108        0.019696
FIRE:   37 15:14:21    -2357.430744        0.013675
FIRE:   38 15:14:21    -2357.431213        0.016773
FIRE:   39 15:14:21    -2357.431673        0.019514
FIRE:   40 15:14:21    -2357.432367        0.017234
FIRE:   41 15:14:21    -2357.433241        0.012236
FIRE:   42 15:14:21    -2357.434004        0.013072
FIRE:   43 15:14:21    -2357.434703        0.014863
FIRE:   44 15:14:21    -2357.435456        0.012293
FIRE:   45 15:14:21    -2357.435982        0.011883
FIRE:   46 15:14:21    -2357.436444        0.017642
FIRE:   47 15:14:21    -2357.436842        0.010588
FIRE:   48 15:14:21    -2357.436928        0.008627
FIRE:   49 15:14:21    -2357.437039        0.005333
FIRE:   50 15:14:21    -2357.437120        0.005244
FIRE:   51 15:14:21    -2357.437184        0.007384
FIRE:   52 15:14:21    -2357.437274        0.006893
FIRE:   53 15:14:21    -2357.437385        0.004100
      Step     Time          Energy          fmax
FIRE:    0 15:18:29    -2357.076680        0.761006
FIRE:    1 15:18:29    -2357.120346        0.679707
FIRE:    2 15:18:29    -2357.191735        0.531335
FIRE:    3 15:18:29    -2357.266418        0.370849
FIRE:    4 15:18:29    -2357.322493        0.247724
FIRE:    5 15:18:29    -2357.350279        0.170553
FIRE:    6 15:18:29    -2357.356248        0.203209
FIRE:    7 15:18:29    -2357.357767        0.197309
FIRE:    8 15:18:29    -2357.360667        0.185740
FIRE:    9 15:18:29    -2357.364690        0.168982
FIRE:   10 15:18:29    -2357.369487        0.147793
FIRE:   11 15:18:29    -2357.374659        0.126531
FIRE:   12 15:18:29    -2357.379806        0.113435
FIRE:   13 15:18:30    -2357.384583        0.102790
FIRE:   14 15:18:30    -2357.389136        0.095830
FIRE:   15 15:18:30    -2357.393128        0.094524
FIRE:   16 15:18:30    -2357.396436        0.097698
FIRE:   17 15:18:30    -2357.399320        0.100849
FIRE:   18 15:18:30    -2357.402372        0.106884
FIRE:   19 15:18:30    -2357.406206        0.105597
FIRE:   20 15:18:30    -2357.411027        0.088399
FIRE:   21 15:18:30    -2357.416278        0.061781
FIRE:   22 15:18:30    -2357.420700        0.050158
