      Step     Time          Energy          fmax
FIRE:    0 15:08:03    -2357.348733        0.444193
FIRE:    1 15:08:04    -2357.355156        0.399674
FIRE:    2 15:08:04    -2357.365381        0.317262
FIRE:    3 15:08:05    -2357.375543        0.208587
FIRE:    4 15:08:05    -2357.382499        0.110767
FIRE:    5 15:08:06    -2357.385472        0.123001
FIRE:    6 15:08:06    -2357.386251        0.145895
FIRE:    7 15:08:07    -2357.386607        0.143029
FIRE:    8 15:08:07    -2357.387287        0.137427
FIRE:    9 15:08:08    -2357.388231        0.129365
FIRE:   10 15:08:09    -2357.389358        0.119281
FIRE:   11 15:08:09    -2357.390576        0.107822
FIRE:   12 15:08:10    -2357.391792        0.098256
FIRE:   13 15:08:10    -2357.392927        0.089708
FIRE:   14 15:08:11    -2357.394023        0.082126
FIRE:   15 15:08:11    -2357.395019        0.076998
FIRE:   16 15:08:12    -2357.395910        0.075024
FIRE:   17 15:08:12    -2357.396789        0.074929
FIRE:   18 15:08:13    -2357.397827        0.073766
FIRE:   19 15:08:13    -2357.399180        0.071862
FIRE:   20 15:08:14    -2357.400859        0.060154
FIRE:   21 15:08:15    -2357.402602        0.039092
FIRE:   22 15:08:15    -2357.403923        0.026402
FIRE:   23 15:08:16    -2357.404528        0.032319
FIRE:   24 15:08:16    -2357.404757        0.050696
FIRE:   25 15:08:17    -2357.405058        0.047604
FIRE:   26 15:08:17    -2357.405304        0.036190
FIRE:   27 15:08:18    -2357.405251        0.046382
FIRE:   28 15:08:18    -2357.405387        0.044103
FIRE:   29 15:08:19    -2357.405628        0.039997
FIRE:   30 15:08:19    -2357.405923        0.035180
FIRE:   31 15:08:20    -2357.406222        0.030845
FIRE:   32 15:08:21    -2357.406494        0.027359
FIRE:   33 15:08:21    -2357.406736        0.024649
FIRE:   34 15:08:22    -2357.406964        0.021888
FIRE:   35 15:08:22    -2357.407211        0.018117
FIRE:   36 15:08:23    -2357.407463        0.011482
FIRE:   37 15:08:23    -2357.407661        0.005578
FIRE:   38 15:08:24    -2357.407739        0.010662
FIRE:   39 15:08:24    -2357.407732        0.016053
FIRE:   40 15:08:25    -2357.407745        0.017343
FIRE:   41 15:08:26    -2357.407803        0.017312
FIRE:   42 15:08:26    -2357.407875        0.020552
FIRE:   43 15:08:27    -2357.408041        0.018634
FIRE:   44 15:08:27    -2357.408284        0.014141
FIRE:   45 15:08:28    -2357.408420        0.012330
FIRE:   46 15:08:28    -2357.408520        0.007866
FIRE:   47 15:08:29    -2357.408498        0.013880
FIRE:   48 15:08:29    -2357.408539        0.011284
FIRE:   49 15:08:30    -2357.408591        0.008125
FIRE:   50 15:08:30    -2357.408624        0.007750
FIRE:   51 15:08:31    -2357.408646        0.008712
FIRE:   52 15:08:31    -2357.408673        0.007437
FIRE:   53 15:08:32    -2357.408699        0.004481
      Step     Time          Energy          fmax
FIRE:    0 15:10:58    -2357.348733        0.444193
FIRE:    1 15:10:58    -2357.355156        0.399674
FIRE:    2 15:10:59    -2357.365381        0.317262
FIRE:    3 15:10:59    -2357.375543        0.208587
FIRE:    4 15:11:00    -2357.382499        0.110767
FIRE:    5 15:11:00    -2357.385472        0.123001
FIRE:    6 15:11:01    -2357.386251        0.145895
FIRE:    7 15:11:01    -2357.386607        0.143029
FIRE:    8 15:11:02    -2357.387287        0.137427
FIRE:    9 15:11:03    -2357.388231        0.129365
FIRE:   10 15:11:03    -2357.389358        0.119281
FIRE:   11 15:11:04    -2357.390576        0.107822
FIRE:   12 15:11:04    -2357.391792        0.098256
FIRE:   13 15:11:05    -2357.392927        0.089708
FIRE:   14 15:11:05    -2357.394023        0.082126
FIRE:   15 15:11:06    -2357.395019        0.076998
FIRE:   16 15:11:06    -2357.395910        0.075024
FIRE:   17 15:11:07    -2357.396789        0.074929
FIRE:   18 15:11:07    -2357.397827        0.073766
FIRE:   19 15:11:08    -2357.399180        0.071862
FIRE:   20 15:11:09    -2357.400859        0.060154
FIRE:   21 15:11:09    -2357.402602        0.039092
FIRE:   22 15:11:10    -2357.403923        0.026402
FIRE:   23 15:11:10    -2357.404528        0.032319
FIRE:   24 15:11:11    -2357.404757        0.050696
FIRE:   25 15:11:11    -2357.405058        0.047604
FIRE:   26 15:11:12    -2357.405304        0.036190
